canonical_question_id,importance_for_review,year,source,chapter,subtopic,micro_concept,question_type,question_pattern,difficulty_estimate,correct_option,final_confidence,micro_concept_confidence,micro_concept_note,taxonomy_mismatch,question_text,option_a,option_b,option_c,option_d,source_url
cq_001113_8b315ff88f,0.6729999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Nature and Significance of Management,meaning and objectives,meaning and objectives,definition-based,definition-based,easy,B,0.12,0.45,Micro-concept uncertain; trust chapter/subtopic more.,false,"The term ""Caveat Emptor"" means:",Let the seller beware,Let the buyer beware,Let the producer beware,Let the distributor beware,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-20
cq_001660_f57807f4b6,0.6689999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Principles of Management,Fayol principles,Fayol principles,definition-based,definition-based,easy,,0.16,0.45,Micro-concept uncertain; trust chapter/subtopic more.,false,"Q.13
What is the full form of EBIT?",,,,,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf
cq_001654_2cf0571fbe,0.6619999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Staffing,selection,selection,match-the-following,match-the-following,medium,,0.23,0.82,,false,"Q.32
Match List-I with List-II
Type of test
Aspects",Intelligence Tests (I) Indicator of a person’s learning ability,Aptitude Tests (II) A measure of individuals' potential for learning new skills.,"Personality Tests (III) Provide clues to a person’s emotions, her reactions, maturity and value system etc.",Interest Tests (IV) Pattern of involvement of a person. Choose the correct answer from the options given below:,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf
cq_001649_973d5aabe3,0.6579999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Organising,delegation,delegation,statement true/false,statement true/false,hard,,0.27,0.82,,false,"Q.48
Passage 2: The Software Giant – Wipro Technology
On the basis of the following passage, answer the Q. No. 46 to Q. No. 50
It’s not quite there yet, but the goal is certainly within reach. One of India’s
largest IT solutions providers, Wipro Technologies, is taking on the likes of
IBM and Accenture in its effort to be included among the largest and most
successful technology services companies in the world. Restructuring
Wipro was considered the most important step in becoming a global giant,
driven by the goal towards improved customer orientation. During the past
few months, Wipro separated itself into several subsidiaries by product
line: telecommunications, engineering, financial services, etc. Each
subsidiary brings in about $300 million in annual earnings and is self-
sufficient with their own accounting books, personnel and administrative
functions. This policy of company reduces the workload as well as
enhances productivity because of the specific workers performing a

--- Page 14 ---
specific job on a regular basis. Such a practice at Wipro further resulted in
avoidance of duplication of work, helps in preventing confusion and
minimising the wastage of efforts. Wipro shifted from a centralised to
decentralised management system. All responsibilities for growth lay with
the management of each entity. “We tried to de-layer the organisation and
empower our business leaders with a much higher degree of growth
responsibility,” said Premji. This practice gives the employee requisite time
to explore areas for growth and the opportunity to innovate thereby
strengthening the company’s competitive position. The authority dispersal
develops in the subordinate the ability to deal effectively with challenges
and helps them to realise their full potential.
""Each subsidiary brings in about $300 million in annual earnings and is
self-sufficient with their own accounting books, personnel and
administrative functions"". Identify the step from the options given below,
that is highlighted in the aforesaid statement.",,,,,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf
cq_000536_981343ed4c,0.6539999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Consumer Protection,consumer responsibilities,consumer responsibilities,definition-based,definition-based,easy,C,0.31,0.45,Micro-concept uncertain; trust chapter/subtopic more.,false,What action did Ananya first take against the store?,Filed a police complaint,Contacted a lawyer,Wrote a formal complaint to the store,Protested outside the store,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-8
cq_001086_ea9e3753aa,0.6539999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Marketing,marketing mix,marketing mix,definition-based,definition-based,easy,C,0.31,0.82,,false,The buyers are willing to spend a lot of time and effort on the purchase of _________.,Convenience Products,Shopping Products,Speciality Products,Non-durable Products,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-20
cq_001102_572536a872,0.6539999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Directing,Maslow hierarchy,maslow hierarchy,match-the-following,match-the-following,medium,C,0.31,0.82,,false,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Aspects | Type of needs |
| (A) Stability of income | (I) Safety/Security Needs |
| (B) Hunger & thirst | (II) Physiological Needs |
| (C) Self-respect & autonomy | (III) Affiliation/Belonging Needs |
| (D) Acceptance and friendship | (IV) Esteem Needs |

Choose the correct answer from the options given below:","(A) - (I), (B) - (II), (C) - (III), (D) - (IV)","(A) - (I), (B) - (III), (C) - (II), (D) - (IV)","(A) - (I), (B) - (II), (C) - (IV), (D) - (III)","(A) - (III), (B) - (IV), (C) - (I), (D) - (II)",https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-20
cq_000491_11c2126b4b,0.6539999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Marketing,marketing mix,marketing mix,definition-based,definition-based,easy,D,0.31,0.82,,false,The rare collections of artwork or of antiques are examples of:,Convenience products,Shopping products,Non-Durable products,Speciality products,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-8
cq_000181_48b5d0f9fc,0.6529999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Marketing Management,Brand Management,Brand Management,definition-based,definition-based,easy,B,0.32,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,What is Aroma Coffee House's primary branding focus?,Cost effectiveness,Sustainability,Luxury,Speed,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-1
cq_001655_ce72bd3678,0.6529999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Business Environment,meaning and features,meaning and features,definition-based,definition-based,easy,,0.32,0.45,Micro-concept uncertain; trust chapter/subtopic more.,false,"Q.34
Which of the following states that a specific and definite action is to be
taken or not to be taken?",,,,,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf
cq_001650_e37f992d78,0.6519999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Planning,types of plans,types of plans,match-the-following,match-the-following,medium,,0.33,0.82,,false,"Q.31
Match List-I with List-II
List-I
List-II
(Type of
Plan)
(Aspect of Plan)",Objectives (I) The desired future position that the management would like to achieve,Strategy (II) The general statement that guides thinking,Policy (III) The broad contours of an organisation’s business,Procedures (IV) Routine steps on how to carry out activities Choose the correct answer from the options given below:,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf
cq_000780_5a6c44c730,0.6519999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Staffing,training and development,training,definition-based,definition-based,easy,C,0.33,0.82,,false,What motivational tool did Rahul implement?,Flexible working hours,A strict disciplinary policy,A reward system for exceeding targets,Job rotation,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-13
cq_000530_57444d7e21,0.6519999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Staffing,employee retention,employee retention,definition-based,definition-based,easy,B,0.33,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,What is a major challenge for Infosys in its staffing strategy?,High employee turnover,Rapid technological advancements,Lack of employee motivation,Limited budget for HR activities,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-8
cq_000415_c72bce09cb,0.6519999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Business Finance,Capital Structure,Capital Structure,definition-based,definition-based,easy,D,0.33,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"The factors affecting capital structure decisions are:

(A) Fiscal policy

(B) Stock market conditions

(C) Control

(D) Risk considerations

Choose the correct answer from the options given below:","(A), (B) and (D) only","(A), (B) and (C) only","(A), (B), (C) and (D)","(B), (C) and (D) only",https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6
cq_001669_06d6979e41,0.6519999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Principles of Management,Fayol principles,Fayol principles,definition-based,definition-based,easy,,0.33,0.45,Micro-concept uncertain; trust chapter/subtopic more.,false,"Q.18
""If the workload of a manager is more than his capacity, which of the
following can he use to offload the work?""",,,,,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf
cq_000013_c56c0a4019,0.6519999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Nature and Significance of Management,features of a profession,features of a profession,feature-identification,feature-identification,easy,,0.33,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"Q.26
Which of the following are identified as features of a profession?",Well-defined body of knowledge,Existence of theoretical knowledge,Entry restricted on the basis of examination or education,Dominance of service motive Choose the correct answer from the options given below:,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf
cq_000163_fc8c0e8b07,0.6519999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Staffing,Compensation and Benefits,Compensation and Benefits,definition-based,definition-based,easy,D,0.33,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"'Compensation refers to all forms of pay or rewards going to employees where some payments are direct and some are indirect'. 

 An indirect payment is:",Bonus,Daily Incentive,Commission,Employer paid Insurance,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-1
cq_001716_e3c8ca22a1,0.6509999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Entrepreneurship Development,competencies and values,entrepreneur characteristics,case-study diagnosis,case-study diagnosis,easy,,0.34,0.82,,false,"Q.32
Savitri is biased towards her female subordinates when it comes to solving
the conflicts among the employees. Which principle is being violated here?",,,,,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf
cq_000647_9dde582eeb,0.6509999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Entrepreneurship,Entrepreneurial Competencies,Entrepreneurial Competencies,statement true/false,statement true/false,medium,C,0.34,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"""Not being afraid of the risks associated with business and relying on one's capabilities to successfully manage these"".
Identify the entrepreneurial competency highlighted in the aforesaid statement.",Assertiveness,Persistence,Self-confidence,Systematic Planning,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-11
cq_001709_3363662d19,0.6509999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Entrepreneurship Development,concept and functions,concept and functions,definition-based,definition-based,easy,,0.34,0.45,Micro-concept uncertain; trust chapter/subtopic more.,false,"Q.29
There are two projects, A and B (with the same risk involved), with a rate of
return of 10 percent and X percent, respectively, if under normal
circumstances, project B is selected. What could be the rate of return of
Project B?",,,,,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf
cq_000046_a912619cb6,0.6509999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Principles of Management,Principle of Authority and Responsibility,Principle of Authority and Responsibility,statement true/false,statement true/false,easy,,0.34,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"Q.6
""A sales manager has to negotiate a deal with a buyer. She finds that if she
can offer a credit period of 60 days, she is likely to clinch the deal which is
supposed to fetch the company a net margin of say Rs. 50 crores. The
company entrusts her the task of clinching the deal but gives her power to
offer a credit period of only 40 days"". Identify the principle of management
violated in the aforesaid statement.",,,,,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf
cq_001644_d3d3f2613e,0.6509999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Entrepreneurship Development,competencies and values,entrepreneur characteristics,statement true/false,statement true/false,easy,,0.34,0.82,,false,"Q.31
Eliciting the support of others in the venture"". This statement is related to
which entrepreneurial competency?",,,,,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf
cq_001703_9021421468,0.6509999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Directing,supervision,leadership style,match-the-following,match-the-following,medium,,0.34,0.82,,false,"Q.40
Match List-I with List-II
List-I
List-II","Supervision (I) Process of exchange of ideas, views, facts, feelings etc",Motivation (II) Encouraging subordinates with zeal to work,Leadership (III) Direct and immediate guidance and control of subordinates,Communicatio n (IV) Guiding and influencing the work of subordinates in desired direction Choose the correct answer from the options given below:,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf
cq_000289_5d2ef5cc23,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Controlling,objectives of standardisation,objectives of standardisation,feature-identification,feature-identification,easy,B,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"Which of the following are the objectives of standardisation in a business organisation?

(A) To reduce a given line or product to fixed types, sizes and characteristics.

(B) To establish interchange ability of manufactured parts and products.

(C) To establish standards of excellence and quality in materials.

(D) To establish standards of performance appraisal for human resources only.

Choose the correct answer from the options given below:","(A), (B) and (D) only","(A), (B) and (C) only","(A), (B), (C) and (D)","(B), (C) and (D) only",https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-4
cq_000054_539947ac7d,0.6499999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Directing,motivation,motivation,feature-identification,feature-identification,hard,,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,false,"Q.47
Rahul is the CEO of BrightSpark Ltd., a company manufacturing LED
lighting solutions. The company recently launched a new line of smart LED
bulbs with advanced features, expecting a surge in demand. However, after
the launch, the sales were not meeting expectations, and employee morale
seemed low.
 
Firstly, Rahul identified that there was a lack of proper communication
between the marketing and production teams. He called a meeting to
clearly communicate the company’s goals and expectations for the new
product.
 
Rahul appointed Priya, a senior manager, to act as a supervisor for the
marketing team. Priya’s job was to oversee day-to-day activities, guide the
team, and resolve any conflicts. Her presence ensured that tasks were
completed on time and in alignment with the company’s objectives. She
also provided feedback and recognized the efforts of team members, which
boosted their morale.
 
Rahul implemented a reward system where employees exceeding their
targets would receive incentives. Additionally, training sessions were
organized to improve employees’ skills and confidence in handling the
advanced features of the new product.
What motivational tool did Rahul implement?",,,,,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf
cq_000328_827e645e73,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Nature and Significance of Management,social objective,social objective,case-study diagnosis,case-study diagnosis,hard,C,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"""She is always involved in helping poor women of the area by providing them with jobs after imparting necessary skills"". Which objective of management is reflected in this statement?",Personal objective,Organisational objective,Social objective,Administrative objective,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-4
cq_000331_5db5e4b926,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Production and Operations Management,Economies of Scale,Economies of Scale,case-study diagnosis,case-study diagnosis,hard,D,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"""Slowly the business is growing as the number of orders are increasing, and the production cost is declining."" Which of the following concept is causing the decrease in production cost here?",Economies of Sale,Economies of Production,Economies of Scope,Economies of Scale,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-4
cq_000885_e125c094fa,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Business Finance,Project Appraisal,Project Appraisal,definition-based,definition-based,easy,B,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"Which of the following are the components of feasibility analysis?
(A) Economic Analysis
(B) Technical Analysis
(C) Financial Analysis
(D) Personal Analysis

Choose the correct answer from the options given below:","(A), (B) and (D) only","(A), (B) and (C) only","(A), (C) and (D) only","(B), (C) and (D) only",https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-16
cq_000294_e2e329f26c,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Entrepreneurship,Motivation for Entrepreneurship,Motivation for Entrepreneurship,definition-based,definition-based,easy,A,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,Identify the internal factor that motivates a person to become an entrepreneur.,Passion,Availability of raw material,Demand of the product,Government assistance and support,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-4
cq_000454_4d787abcfa,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Directing,principles of directing,principles of directing,feature-identification,feature-identification,easy,D,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,Which of the following is not the principle of directing?,Unity of command,Harmony of objectives,Leadership,Corrective action,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-7
cq_000144_d4153814d3,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Nature and Significance of Management,features of a profession,features of a profession,feature-identification,feature-identification,easy,A,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"Which of the following are identified as features of a profession?
(A) Well-defined body of knowledge
(B) Existence of theoretical knowledge
(C) Entry restricted on the basis of examination or education
(D) Dominance of service motive

Choose the correct answer from the options given below:","(A), (C) and (D) only","(A), (B) and (C) only","(A), (B), (C) and (D)","(B), (C) and (D) only",https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-1
cq_000135_97ce943ede,0.6499999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Directing,supervision,supervision,feature-identification,feature-identification,hard,,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,false,"Q.50
Rahul is the CEO of BrightSpark Ltd., a company manufacturing LED
lighting solutions. The company recently launched a new line of smart LED
bulbs with advanced features, expecting a surge in demand. However, after

--- Page 14 ---
the launch, the sales were not meeting expectations, and employee morale
seemed low.
Firstly, Rahul identified that there was a lack of proper communication
between the marketing and production teams. He called a meeting to
clearly communicate the company’s goals and expectations for the new
product.
Rahul appointed Priya, a senior manager, to act as a supervisor for the
marketing team. Priya’s job was to oversee day-to-day activities, guide the
team, and resolve any conflicts. Her presence ensured that tasks were
completed on time and in alignment with the company’s objectives. She
also provided feedback and recognized the efforts of team members, which
boosted their morale.
Rahul implemented a reward system where employees exceeding their
targets would receive incentives. Additionally, training sessions were
organized to improve employees’ skills and confidence in handling the
advanced features of the new product.
""Priya's job was to oversee day-to-day activities, guide the team, and
resolve any conflicts."" Which element of directing is highlighted in these
lines?",,,,,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf
cq_000620_ad71cee08b,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Nature and Significance of Management,dimensions of management,dimensions of management,definition-based,definition-based,easy,A,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"Management is a complex and multi dimensional activity that has three main dimensions. Identify, from the options given below, which is NOT included in the three dimensions.",Management of Public,Management of People,Management of Work,Management of Operations,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-10
