chapter,subtopic,priority_tier,dominant_question_pattern,how_to_study_it,representative_pyqs,common_traps,ncert_heading_to_revise
Controlling,control process,Tier 1 = Must do,definition-based,"Memorise the NCERT sequence exactly, then practise shuffled-order PYQs.","Q.24 Identify the advantage of Critical Point Control and Management by Exception. || ""Controlling should focus on Key Result Areas which are critical to the success of an organization"" is suggested under which of the following concepts? || Arrange the steps of the controlling process in a logical sequence. (A) Corrective action might involve training of employees if the production target could not be met. (B) Setting standards of performance (C) Performanc || Arrange the steps in Controlling Process in correct sequence:  <ol> <li>(A) Analysing Deviations</li>  <li>(B) Measurement of Actual Performance</li>  <li>(C) Setting Performance Standards</li>  <li>(D) Comparing actual  || Identify the advantage of Critical Point Control and Management by Exception.",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Control Process
Nature and Significance of Management,meaning and objectives,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Q.37 All the units of an organisation should move towards the same objectives through coordinated and focused efforts. Identify this principle of management. || Q.14 Which of the following is a comprehensive plan for accomplishing organizational objectives? || Planning is an important function of management which involves defining the following:    (A) Setting objectives   (B) Deciding on plans, actions and strategies to achieve organisational goals   (C) Allocating and arrang || ""Management is the process of working with and through others to effectively achieve organisational objectives by efficiently using limited resources in the changing environment."". Who gave this definition of management? || Which of the following are the components of personnel objectives of management? (A) Competitive salaries and perks (B) Survival of the organisation (C) Personal growth and development (D) Profit maximisation  Choose the",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Meaning And Objectives
Business Environment,dimensions,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Q.24 It is difficult to understand the impact of social, economic, political or legal factors on change in demand of a product in the market. Which feature of the business environment is indicated here? || Under which dimension of business environment is 'Online Booking of Air Tickets' included? || Which of the following is an example of economic environment? || Which of the following is an example of legal environment? || Match List-I with List-II  | List-I | List-II | | --- | --- | | Business Environment | Dimension | | (A) Economic | (I) KYC compliance is mandatory in mutual funds investment | | (B) Social | (II) Construction companies ",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Dimensions
Nature and Significance of Management,features of management,Tier 1 = Must do,feature-identification,Revise feature lists and practise eliminating options that are true but from another chapter.,"Management always works by keeping an end result or aim of the organisation. All activities of managers are directed towards these aims.' From the above statement, identify the feature of management. || AMPM is a reputed wristwatch company. Foreseeing the changing trend, the management of the company decided to manufacture smartwatches. This feature of management suggests that: || A firm is planning to increase its sales by 25% in the next quarter. Identify the feature of Management being highlighted. || Which of the following statements are correct?  (A) Management is all pervasive.  (B) Management is multidimensional.  (C) Management is a group activity.  (D) Management is an intangible force.  Choose the correct answe || Which of the following is NOT a feature of management?",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Features Of Management
Principles of Management,Fayol principles,Tier 1 = Must do,principle-identification,"Learn the exact principle names, keywords, and one business example for each.",Q.6 Match List-I with List-II List-I (Principle of Management) List-II (Description) || Match List-I with List-II on the basis of Management Principles || Match List-I with List-II  | List-I | List-II | | --- | --- | | Principles | Statement | | --- | --- | | (A) Equity | (I) To ensure obedience to organizational rules | | (B) Unity of direction | (II) Kindliness and justi || Which of the following terms represents the number of subordinates that a superior can effectively manage? || Which of the following principles are taken from the 14-Principles suggested by Henry Fayol?  (A) Discipline  (B) Scalar Chain  (C) Stability of the business organisation  (D) Equity  Choose the <b>correct</b> answer fro,mixing unity of command with unity of direction,Fayol Principles
Principles of Management,Taylor scientific management,Tier 1 = Must do,principle-identification,"Learn the exact principle names, keywords, and one business example for each.","Identify the Principle of Management where Taylor pioneered the introduction of method of scientific inquiry into the domain of management practice. || The management principles given by F W Taylor are scientific in nature whereas management principles given by Henry Fayol are _________ in nature. || Who gave the concepts of 'mental revolution' and 'Harmony, Not Discord'? || Which of the following are not the correct differences between Fayol's principle of management and Taylor's principle of scientific management? (A) Fayol's principles are applicable in specialized situations, but Taylor' || ""Management should not close its ears to any constructive suggestions made by the employees"". Which principle of Scientific Management is referred here?",mixing unity of command with unity of direction,Taylor Scientific Management
Consumer Protection,consumer rights,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Q.25 ""Electrical appliances which are manufactured with substandard products or do not conform to the safety norms might cause serious injury. Thus, consumers are educated that they should use electrical appliances which || Identify the Consumer Right - 'The consumer has the freedom to access variety of products at competitive prices. This implies that the marketer should offer a wide variety of products in terms of quality, brand, prices,  || Match List-I with List-II  | List-I | List-II | | --- | --- | | Consumer Rights <th>(Explanation) </th> | (Explanation) | | --- | --- | | (A) Right to be informed | (I) The right to be a well-informed consumer throughout || Match List-I with List-II  | List-I | List-II | | --- | --- | | <b>Consumer Rights</b> | <b>Statement</b> | | (A) Right to be informed | (I) Manufacturing date, ingredients, price, quantity of the product etc. | | (B) Ri || Which of the following is NOT a Right under the Consumer Protection Act 2019?",mixing consumer rights with responsibilities and redressal bodies,Consumer Rights
Directing,meaning and importance,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Which of the following is a process of incitement or inducing subordinates to act in a desired manner to achieve organisational goals? || _____ is a process of influencing the behaviour of people by making them strive voluntarily towards achievement of organisational goals || Which of the following can NOT be considered as an element of directing? || Which of the following is not believed to be a mere issue of communication but encompasses many elements like supervision, motivation and leadership? || Which of the following is NOT an element of directing?",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Meaning And Importance
Entrepreneurship Development,need and characteristics,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Which is not a need identified by Abraham Maslow? || Which of the following is not a part of entrepreneurial motivation? || The following are part of entrepreneurial motivation, except:  1. Need for Achievement (N-Ach.) 2. Need for Power (N-Pow) 3. Need for Affiliation (N-Aff.) 4. Need for Profit (N-Pro) || Identify the concept which implies ""a desire to accomplish something difficult""? || Which of the following is not included in Entrepreneurial motivation?",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Need And Characteristics
Organising,organisation structure,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Q.24 Organizational structure is the outcome of which process? || Q.5 Which structure among the following is an organizational design that groups similar or related jobs together for occupational specialization? || Q.4 Which organizational structure consists of separate business units? || __________ comprises of separate business units or divisions wherein each unit has a manager responsible for performance and who has authority over the unit. || Which of the following are the disadvantages of Functional Structure?  (A) A functional structure leads to occupational specialisation, since emphasis is placed on specific functions  (B) It may lead to problems in coord",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Organisation Structure
Planning,planning process,Tier 1 = Must do,chronology/process order,"Memorise the NCERT sequence exactly, then practise shuffled-order PYQs.","Q.21 Choose the correct order of planning process. || Identify the correct sequence of steps under the Planning function || In business, a manager is required to make certain assumptions about the future regarding a particular product, demand of that product, tax rates etc. This is called: || Rita has been promoted as the planning head and the company is planning to launch a new product. What will be the correct sequence of the steps in the planning of the new product? || Identify the correct sequence of steps in the Planning Process:  (A) Evaluating alternative courses  (B) Implementing the plan  (C) Selecting an alternative  (D) Follow-up action  Choose the correct answer from the optio","mixing policy, procedure, method, rule, programme, and budget",Planning Process
Staffing,staffing process,Tier 1 = Must do,chronology/process order,"Memorise the NCERT sequence exactly, then practise shuffled-order PYQs.","Which of the following is NOT an aspect of staffing? || Arrange the following stages of the staffing process in logical sequence.  <ul><li>(A) Placement and orientation</li><li>(B) Estimating manpower requirements</li><li>(C) Recruitment</li><li>(D) Selection</li></ul>  Choos || Which of the following aspects of staffing process is/are NOT properly stated?  (A) Managers need to design activities to serve employees' short-term interests only.  (B) Compensation is decided in the form of direct fin || Mr. X has a few positions vacant in his business. What will be the correct order in deciding how to fill these positions? (A) Recruitment and selection (B) Training & Development (C) Estimating the manpower requirements  || H.R. Manager of a firm estimated, Manpower requirements. What sequence of steps will he follow further?  (A) Placement and Orientation  (B) Selection  (C) Training and Development  (D) Recruitment  Choose the correct ans","mixing recruitment, selection, training, and development stages",Staffing Process
Organising,meaning and process,Tier 1 = Must do,chronology/process order,"Memorise the NCERT sequence exactly, then practise shuffled-order PYQs.",Identify the correct sequence of Organising function of management. || Arrange the following steps of a company's organizing process in the correct sequence.  (A) Identification and division of work  (B) Departmentalisation  (C) Assignment of tasks  (D) Establishing reporting relationships  || ### **Match List-I with List-II**  | List-I (Process of Organising) | List-II (Meaning) | | :--- | :--- | | **(A) Departmentalisation** | **(I)** Clearly defining the work of various job positions and allocating work to  || The final result of the Organising Process is that the structure of the Organization is created. What sequence of steps is followed by managers for this:  (A) Departmentalization  (B) Identification and Division of work  || Arrange the steps of organizing in a proper sequence.  (A) Departmentalisation  (B) Identification and division of work  (C) Establishing a reporting relationship  (D) Assignment of Duties  Choose the correct answer from,watch for options from nearby chapters that sound correct but do not match the NCERT heading,Meaning And Process
Nature and Significance of Management,levels of management,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Q.8 Which of the following roles is performed by middle-level management? || Anshu works in the capacity of Chief Executive Officer, responsible for formulating organizational goals and strategies. At which level is Anshu working? || Arun has been promoted as production manager of the North-East division of a company. Now he is working at: || When Span of Management Increases, the number of levels of Management in the Organisation: || At which level of Management, does Directing take place in the organization?",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Levels Of Management
Business Environment,meaning and features,Tier 1 = Must do,feature-identification,Revise feature lists and practise eliminating options that are true but from another chapter.,"Q.26 List-I List-II Features of Business Environment Example || Q.8 General stability and peace in the country and specific attitudes that government representatives hold towards business signify which aspect of the business environment? || ""It is very difficult to predict future happenings, especially when environmental changes are taking place too frequently"". Which feature of business environment is reflected in the above statement? || The company's decision to modify product design according to European customers reflects which characteristic of business environment? || Which of the following is not a characteristic of business environment?",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Meaning And Features
Business Finance,financial management,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.",What is the primary goal of financial management? || The primary aim of financial management is: || The objective of financial management is to maximize the current price of equity shares of the company. This concept is: || The primary aim of financial management is: || Which component is NOT a part of GreenTech's financial management?,mixing financing decision with investment or dividend decision,Financial Management
Business Finance,financing decision,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","What is an optimal capital structure for ABC Ltd.? || The CFO of a company decides to maintain the capital structure as 1/2. The finance raised from owners and shareholders is Rs. 300 crore. How much debt financing does he need? || Higher Debt-Equity Ratio results in ______ || What does the term ""Capital Structure"" imply? || 'The decision determines the overall cost of capital and the financial risk of the enterprises.' Which decision is highlighted in the above statement?",mixing financing decision with investment or dividend decision,Financing Decision
Marketing,marketing mix,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Q.49 Read the passage and answer the following questions.    --- Page 14 --- Neha is the founder of EcoFresh, a company that produces organic skincare products. With growing consumer interest in eco-friendly products, Ne || Identify the element of marketing mix in the following statement: 'The taste, quality and packing are given utmost care.' || They are able to charge higher price than their competitors.' Which element of marketing mix is discussed in the statement? || To increase their sales, they are using different offers like: Free gifts, Cash backs etc. They are offering discounts to customers on various occasions.' Identify the marketing mix element from the above statement. || Which of the following is NOT a component of Marketing Mix?","confusing product, promotion, price, and place cues",Marketing Mix
Marketing,promotion,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Q.11 ""Companies use sales promotion tools specifically designed to promote, like product combinations, dealer discounts and dealer incentives"". Which tool of promotion is highlighted in the aforesaid statement? || Match List-I with List-II  | List-I | List-II | | --- | --- | | Promotion Mix | Explanation | | --- | --- | | (A) Advertising | (I) Minimises Wastage of Efforts | | (B) Sales Promotion | (II) Manages public opinion of an || Match ListâI with ListâII  | ListâI | ListâII | |----------------------|-------------------------------------------------------------------------| | (A) Sales Promotion | (I) Managing public opinion of an organis || The marketing manager of Aricure Ltd. offers short-term incentives to encourage buyers to make immediate purchases. Which element of promotion mix is he referring to? || ""A firm offering free deodorant on purchase of a makeup kit"". Which element of promotion mix is highlighted in this statement?","confusing product, promotion, price, and place cues",Promotion
Nature and Significance of Management,functions of management,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Identify the function of management highlighted in the above case. || Which of the following is a generic function of management? || Which of the following are inseparable twins of management functions? || ""Since it is a small business, she performs all the functions of business management herself"". Identify the functions of management performed by Shilpa in the above case. || Identify the correct order of functions of management.  1. Planning-Organising-Controlling-Directing-Staffing 2. Organising-Planning-Controlling-Representing-Innovating 3. Planning-Organising-Staffing-Directing-Controlli",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Functions Of Management
Principles of Management,techniques of scientific management,Tier 1 = Must do,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","For designing a tractor, the assembly line production would entail deciding the sequence of various operations, place for men, machines and raw materials etc. All these are part of: || To find out the best way of doing the job is known as: || The following are techniques of Scientific Management, except:  1. Functional foremanship 2. Standardisation 3. Differential piece wage system 4. Initiative || Sandhya, the Plant Supervisor, found that there were many unnecessary movements while doing a job which could be eliminated. Which technique can be used to solve the problem? || Which technique of Scientific Management is used to determine the best way of doing a task?",mixing unity of command with unity of direction,Techniques Of Scientific Management
Organising,delegation,Tier 2 = High ROI,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.",Delegation of authority is an important instrument for effective management. Which of the following is another point of importance of delegation? || Which of the following are the elements of delegation? (A) Unity of Direction (B) Authority (C) Responsibility (D) Accountability  Choose the correct answer from the options given below: || The process of assigning authority and responsibility to one's subordinates to manage a project is called: || Match List-I with List-II  | List-I | List-II | | --- | --- | | Concept of delegation | Meaning | | (A) Authority | (I) To oversee the work of others. | | (B) Accountability | (II) Right to command. | | (C) Delegation |  || Match List-I with List-II  | List-I | List-II | | --- | --- | | (A) Responsibility | (I) Right to command subordinates and to give orders and exact obedience. | | (B) Authority | (II) Downward transfer of authority from ,watch for options from nearby chapters that sound correct but do not match the NCERT heading,Delegation
Staffing,training and development,Tier 2 = High ROI,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Q.4 Training is conducted away from the work floor"". Identify the type of training || It is a joint programme of training in which educational institutions and business firms cooperate.' Identify the method of training. || A very useful training method has been adopted by many training institutes since long by providing real work environment for trainees. This type of training is termed as: || Which of the following is NOT an 'On the Job Method' of training? || Which of the following are ""On The Job Methods"" for training?  (A) Apprenticeship programmes  (B) Case study  (C) Internship  (D) Job rotation  Choose the correct answer from the options given below:","mixing recruitment, selection, training, and development stages",Training And Development
Directing,communication,Tier 2 = High ROI,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Q.30 Which of the following are the communication barriers? || What was a key element of Rajesh's communication? || Barriers which are concerned with problems and obstructions in the process of encoding and decoding of message into words or impressions are known as: || Arrange the following elements of communication in a logical sequence  (A) Message (B) Media (C) Encoding (D) Receiver  Choose the correct answer from the options given below: || On Sundays, Shyam, an executive working with an MNC, enjoys, interacts and plays cricket at a ground with his subordinates as well as superiors. What type of communication is being referred to here?",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Communication
Directing,motivation,Tier 2 = High ROI,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.",How did Rajesh improve employee motivation? || Non-financial incentives include:  (A) Job Security  (B) Retirement Benefits  (C) Co-partnership  (D) Employee participation  Choose the correct answer from the options given below: || Match List-I with List-II  | List-I | List-II | | --- | --- | | Financial/Non-Financial Incentives | Examples | | (A) Job Enrichment | (I) Autonomy and powers to subordinates | | (B) Retirement benefits | (II) Gratuity | || The motivation process is based on human needs. A simple model of the motivation process involves the following sequence:  (A) An unsatisfied need  (B) Tension  (C) Drives  (D) Generate a search behaviour  Choose the cor || Which of the following is not a non-financial incentive?,watch for options from nearby chapters that sound correct but do not match the NCERT heading,Motivation
Marketing,product,Tier 2 = High ROI,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.",Q.27 Manju was shopping in a grocery store. She picked up a product and started searching for the FPO mark on the package. What was the product in her hand? || Q.23 List-I List-II || Q.5 Match List-I with List-II List-I List-II || Manju was shopping in a grocery store. She picked up a product and started searching for the FPO mark on the package. What was the product in her hand? || What does labeling provide to customers?,"confusing product, promotion, price, and place cues",Product
Consumer Protection,importance,Tier 2 = High ROI,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Identify the importance of consumer protection discussed in the following lines - 'Business organisations make money by selling goods and providing services to consumers. Thus, consumers form an important group among the || The importance of consumer protection from the business point of view includes:   (A) Social responsibility   (B) Government intervention   (C) Business uses its own resources   (D) Long term interest of business    Choo || Which of the following is NOT related to the importance of consumer protection from a consumer's viewpoint? || The Importance of Consumer Protection from a consumer's point of view is:  (A) Social Responsibility (B) Widespread exploitation of Consumers (C) Unorganized Consumers (D) Consumer Ignorance  Choose the correct answer fr || ""Jago grahak jago"" is a campaign launched through multimedia awareness by:",mixing consumer rights with responsibilities and redressal bodies,Importance
Staffing,selection,Tier 2 = High ROI,chronology/process order,"Memorise the NCERT sequence exactly, then practise shuffled-order PYQs.",Q.33 Arrange the stages of the selection process in the correct sequence. || Identify the correct sequence of the selection process: || Arrange the following steps of a company's selection process in the correct sequence.  (A) Reference and background checks  (B) Selection tests  (C) Preliminary Screening  (D) Employment interviews  Choose the <b>correct || Arrange the following steps of the selection process in a logical sequence.  (A) Selection Tests  (B) Employment Interview  (C) Reference and Background Checks  (D) Preliminary Screening  Choose the correct answer from t || Arrange the following steps of the selection process in a logical sequence (A) Physical or Medical Examination (B) Checking references (C) Filling in of blank application form (D) Employment test  Choose the correct answ,"mixing recruitment, selection, training, and development stages",Selection
Marketing,marketing meaning,Tier 2 = High ROI,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Q.36 The concept of marketing is based on the pillars arranged in the following sequence: || The concept of marketing is based on the pillars arranged in the following sequence:  (A) Satisfying the needs of the target market better than the competitors  (B) Understanding the needs and wants of customers in the t || What does the operational plan address? || ""It is necessary to identify the needs of the customers and subsequently take various decisions for the successful marketing of products and services."" This statement is related to which function of Marketing? || With the growth of computer, a new trend has emerged i.e. companies are using interactive sites on the internet, to collect customer views and opinions before taking important business decisions. Identify the function of","confusing product, promotion, price, and place cues",Marketing Meaning
Staffing,recruitment,Tier 2 = High ROI,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Q.28 Which of the following are the limitations of internal sources of recruitment? (A) The scope for induction of fresh talent is reduced. (B) Employees are motivated to improve their performance. (C) The employees may  || Which of the following are the limitations of internal sources of recruitment?    (A) The scope for induction of fresh talent is reduced.    (B) Employees are motivated to improve their performance.    (C) The employees  || Which of the following is NOT an external source of recruitment? || ""A notice is placed on the notice board of the firm specifying the details of the jobs available"". This source of recruitment is: || Which of the following is not a source of external recruitment? <ol> <li>Campus recruitment</li> <li>Casual callers</li> <li>Web publishing</li> <li>Promotion</li> </ol>","mixing recruitment, selection, training, and development stages",Recruitment
Business Finance,financial planning,Tier 2 = High ROI,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Financial Planning of a company is essentially known as ________? || In the context of ABC Manufacturing Ltd., the basic requirement of financial planning is to: || Identify the correct statements in the context of financial planning.  (A) The objective of financial planning is to ensure that enough funds are available at the right time.  (B) Financial planning sees that firms do no || A proper matching of funds requirements and their availability is sought to be achieved by _______. || __________ ensures availability of finance whenever needed.","mixing financing decision with investment or dividend decision; mixing policy, procedure, method, rule, programme, and budget",Financial Planning
Business Finance,working capital,Tier 2 = High ROI,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","What does GreenTech prioritize in working capital management? || Which of the following is NOT a factor affecting working capital requirements? || Factors affecting the working capital requirement are:  (A) Nature of Business  (B) Seasonal factors  (C) Credit availed  (D) Stock market conditions  Choose the correct answer from the options given below: || ""Learning how to manage debt is what can put you ahead"". Identify the concept highlighted in the aforesaid statement. || Which of the following ensures smooth operations in production?",mixing financing decision with investment or dividend decision,Working Capital
Directing,leadership,Tier 2 = High ROI,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.",Which leadership style was highlighted in Rajesh's actions? || A leader has the viewpoint that reward or punishment can both be given based on the result achieved.<br/>What type of leadership is this? || Which of the following statements are correct regarding importance of leadership?  (A) Leadership influences the behaviour of people.  (B) A leader persuades people not to accept changes.  (C) A good leader does not allo || Which of the following statement does not represent a feature of leadership? || Which of the following does not relate to the features of leadership?,watch for options from nearby chapters that sound correct but do not match the NCERT heading,Leadership
Planning,types of plans,Tier 2 = High ROI,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Match List-I with List-II  | List-I | List-II | | --- | --- | | (A) Strategy | (I) Prescribed way of doing a task | | (B) Method | (II) Detailed statements about a project | | (C) Programme | (III) Exact manner in which  || Which type of plan is a combination of objectives, policies, procedure, rules etc? || Which of the following are the types of plan?  (A) Rule  (B) Policy  (C) Strategy  (D) Vision  Choose the correct answer from the options given below: || Which of the following is NOT related to the types of plan? || Which of the following states that a specific and definite action is to be taken or not to be taken?","mixing policy, procedure, method, rule, programme, and budget",Types Of Plans
Directing,Maslow hierarchy,Tier 2 = High ROI,chronology/process order,"Memorise the NCERT sequence exactly, then practise shuffled-order PYQs.","Find the correct sequence of needs as given by Maslow in his Need Hierarchy Theory: || TechNext offers initiatives like awards for outstanding performance, public appreciation and recognition in the company. Which need does this fulfill? || Which need of Maslow's Need hierarchy is most likely unmet if employees feel that the company has a plan to reduce the workforce? || ""The company offers team building events, acceptance programs and off-site activities for a sense of belongingness."" Which need is being fulfilled by this? || ""It offers advanced training programs, creative freedom for employees to pursue innovative projects and funding for personal development and fulfillment initiatives"". Which need in Maslow's hierarchy does this fulfill?",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Maslow Hierarchy
Consumer Protection,legal redressal,Tier 2 = High ROI,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","If any of the parties are not satisfied by the order of _____ they can appeal against such order to the State Commission on the grounds of facts or law within a period of forty-five days from the date of order. || Arrange the following Redressal Agencies in the hierarchical structure (bottom to top) as per the Consumer Protection Act, 2019  (A) District Commission (B) National Commission (C) Supreme Court  (D) State Commission || Sahil purchased an LCD TV worth Rs. 1.5 lakh and found that the panel of the TV was broken. The shopkeeper refused to entertain the issue. Where would Sahil complain about this? || Where did Ananya file her complaint? || Under Consumer Protection Act 2019, which is the appropriate authority from where Sushma could seek redressal?",mixing consumer rights with responsibilities and redressal bodies,Legal Redressal
Controlling,relationship with planning,Tier 2 = High ROI,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","""Planning without controlling is meaningless and controlling without planning is blind"". Which of the following statements advocate this statement: (A) Planning and controlling are separable twins of management. (B) Plan || Which of the following shows the relationship between planning and controlling? || Which of the following statements are not correct? (A) Planning and controlling are essentially one and the same. (B) Controlling is the part of planning process. (C) Controlling can be a substitute for planning. (D) Pla || Which of the following statement is not correct for the relationship between planning and controlling? || Which of the following points represents the correct relationship between planning and controlling? (A) Planning and controlling are separable twins of management. (B) Planning and controlling are inseparable twins of ma","mixing policy, procedure, method, rule, programme, and budget",Relationship With Planning
Nature and Significance of Management,coordination,Tier 2 = High ROI,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Which of the following is termed as the 'Essence of Management'? || Which of the following is NOT a characteristic of coordination? || ""Coordination is the process whereby an executive develops an orderly pattern of group efforts among his subordinates and secures unity of action in the pursuit of a common purpose"". This definition of coordination is gi || Which of the following are the importance of delegation?  (A) Effective management  (B) Better coordination  (C) Motivation of employees  (D) Integrate employee-efforts  Choose the <b>correct</b> answer from the options  || Coordination unifies unrelated interests into purposeful work activity.' Identify the nature of coordination.",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Coordination
Organising,decentralisation,Tier 2 = High ROI,definition-based,"Revise NCERT definitions, headings, and common examples; then solve direct PYQs.","Which of the following clearly explains the manner in which decision-making authority is dispersed at hierarchical levels? || The systematic effort to delegate to the lowest level, all authority except that which can be exercised at central points is called: <ol><li>Decentralisation</li><li>Delegation</li><li>Centralisation</li><li>Departmental || __________ is a philosophy that implies selective dispersal of authority because it propagates the belief that people are competent, capable and resourceful. || ""Systematic effort to delegate to the lowest level of authority except that which can be exercised at central points "" Identify the concept of management. || Which concept focuses on increasing the role of the subordinates in the organisation by giving them more autonomy?",watch for options from nearby chapters that sound correct but do not match the NCERT heading,Decentralisation
