canonical_question_id,chapter,subtopic,micro_concept,question_type,difficulty_estimate,correct_option,ai_confidence,verification_source,notes
cq_001113_8b315ff88f,Nature and Significance of Management,meaning and objectives,types of plans,definition-based,easy,B,0.98,ai_verified,"Caveat Emptor translates to 'Let the buyer beware', aligning with the definition of consumer rights in the context of management principles."
cq_001660_f57807f4b6,Business Finance,financial management,financial terms,definition-based,easy,EBIT,0.95,ai_verified,"EBIT stands for Earnings Before Interest and Taxes, a standard financial metric."
cq_001654_2cf0571fbe,Staffing,selection,selection process,match-the-following,medium,A,0.9,ai_verified,"Intelligence Tests are used to indicate a person's learning ability, matching the description in List-I."
cq_001649_973d5aabe3,Organising,delegation,decentralisation,statement true/ false,hard,TRUE,0.85,ai_verified,"The passage describes Wipro's shift to a decentralised management system, supporting the statement as true."
cq_000536_981343ed4c,Consumer Protection,consumer responsibilities,consumer action,definition-based,easy,C,0.97,ai_verified,"Ananya's first action was to write a formal complaint to the store, reflecting consumer responsibility to address grievances."
cq_001086_ea9e3753aa,Marketing,marketing mix,marketing mix,definition-based,easy,C,0.98,ai_verified,Speciality products require significant consumer search effort and time.
cq_001102_572536a872,Directing,Maslow hierarchy,maslow hierarchy,match-the-following,medium,C,0.95,ai_verified,"Stability of income aligns with Safety/Security Needs, hunger with Physiological Needs, self-respect with Esteem Needs, and acceptance with Affiliation/Belonging Needs."
cq_000491_11c2126b4b,Marketing,marketing mix,marketing mix,definition-based,easy,D,0.97,ai_verified,"Rare collections like artwork or antiques are high-involvement, low-frequency purchases, characteristic of specialty products."
cq_000181_48b5d0f9fc,Marketing Management,Brand Management,product mix,definition-based,easy,B,0.94,ai_verified,Aroma Coffee House emphasizes sustainability as its primary branding focus.
cq_001655_ce72bd3678,Business Environment,meaning and features,taken,definition-based,easy,BLANK,0.0,ai_verified,Insufficient options provided to determine the correct answer.
cq_001650_e37f992d78,Planning,types of plans,types of plans,match-the-following,medium,BLANK,0.9,ai_verified,Options provided are incomplete; cannot determine correct match.
cq_000780_5a6c44c730,Staffing,training and development,training,definition-based,easy,C,0.95,ai_verified,"Rahul implemented a reward system for exceeding targets, aligning with motivational tools in staffing."
cq_000530_57444d7e21,Staffing,employee retention,types of plans,definition-based,easy,B,0.9,ai_verified,Infosys faces rapid technological advancements as a major staffing challenge.
cq_000415_c72bce09cb,Business Finance,Capital Structure,types of plans,definition-based,easy,D,0.98,ai_verified,"Factors affecting capital structure: stock market conditions, control, risk considerations (excluding fiscal policy)."
cq_001669_06d6979e41,Principles of Management,Fayol principles,principles,definition-based,easy,BLANK,0.85,ai_verified,Options for offloading workload are missing; cannot assign a correct option.
cq_000013_c56c0a4019,Nature and Significance of Management,features of a profession,features,feature-identification,easy,BLANK,0.0,ai_verified,"Options A, C, and D are valid features of a profession, but option B ('Existence of theoretical knowledge') is too generic and not a distinct feature. Since the correct option is not provided, it remains blank."
cq_000163_fc8c0e8b07,Staffing,Compensation and Benefits,compensation,definition-based,easy,D,1.0,ai_verified,"Employer-paid insurance is an indirect form of compensation, aligning with the definition provided."
cq_001716_e3c8ca22a1,Entrepreneurship Development,competencies and values,entrepreneur characteristics,case-study diagnosis,easy,BLANK,0.0,ai_verified,"The principle violated is 'Equality and Fairness' (or 'No Discrimination'), but it is not listed among the options, so the correct option remains blank."
cq_000647_9dde582eeb,Entrepreneurship,Entrepreneurial Competencies,entrepreneur characteristics,statement true/ false,medium,C,1.0,ai_verified,"The statement describes self-confidence, which is a recognized entrepreneurial competency."
cq_001709_3363662d19,Entrepreneurship Development,concept and functions,return,definition-based,easy,BLANK,0.0,ai_verified,"Without additional information on the selection criteria for projects A and B, the rate of return for Project B (X percent) cannot be determined, so the correct option remains blank."
cq_000046_a912619cb6,Principles of Management,Principle of Authority and Responsibility,delegation,statement true/false,easy,,0.34,ai_fallback_current_prediction,Fallback to current pipeline label because AI audit call failed.
cq_001644_d3d3f2613e,Entrepreneurship Development,competencies and values,entrepreneur characteristics,statement true/false,easy,BLANK,0.85,ai_verified,Eliciting support from others aligns with the entrepreneurial competency of networking or stakeholder engagement.
cq_001703_9021421468,Directing,supervision,leadership style,match-the-following,medium,BLANK,0.8,ai_verified,"Matching definitions requires precise alignment of terms like supervision, motivation, leadership, and communication."
cq_000289_5d2ef5cc23,Controlling,objectives of standardisation,types of plans,feature-identification,easy,B,0.95,ai_verified,"Standardisation aims at fixed types, interchangeability, and quality standards, excluding performance appraisal of HR only."
cq_000054_539947ac7d,Directing,motivation,types of plans,feature-identification,hard,BLANK,0.75,ai_verified,"Rahul's reward system and training sessions are motivational tools, but the exact term (e.g., incentive plan, training) is not specified in options."
cq_000328_827e645e73,Nature and Significance of Management,social objective,types of management objectives,case-study diagnosis,hard,C,0.98,ai_verified,"The statement reflects the social objective of management, which involves helping the community and society, such as providing jobs to poor women."
cq_000331_5db5e4b926,Production and Operations Management,Economies of Scale,cost reduction through increased production,case-study diagnosis,hard,D,0.97,ai_verified,The decrease in production cost as order volume increases is characteristic of economies of scale.
cq_000885_e125c094fa,Business Finance,Project Appraisal,components of feasibility analysis,definition-based,easy,B,0.99,ai_verified,"Feasibility analysis includes Economic, Technical, and Financial analyses; personal analysis is not a standard component."
cq_000294_e2e329f26c,Entrepreneurship Development,Motivation for Entrepreneurship,internal motivators,definition-based,easy,A,0.96,ai_verified,Passion is an internal factor that drives individuals to become entrepreneurs.
cq_000454_4d787abcfa,Directing,principles of directing,principles vs. actions,feature-identification,easy,D,0.95,ai_verified,"Corrective action is an outcome of directing, not a principle; principles include unity of command, harmony of objectives, and leadership."
cq_000144_d4153814d3,Nature and Significance of Management,features of a profession,features,feature-identification,easy,A,0.98,ai_verified,"Option A correctly lists the identified features of a profession: well-defined body of knowledge, entry restricted by examination/education, and dominance of service motive."
cq_000135_97ce943ede,Directing,supervision,supervision,feature-identification,hard,B,0.85,ai_verified,"Priya's role of overseeing day-to-day activities, guiding the team, and resolving conflicts aligns with the element of supervision in directing."
cq_000620_ad71cee08b,Nature and Significance of Management,dimensions of management,management,definition-ased,easy,A,0.97,ai_verified,"Management of Public is not one of the three main dimensions (People, Work, Operations)."
cq_000213_453e668db5,Consumer Protection,consumer products,purchased,definition-ased,easy,C,0.99,ai_verified,A pen bought by a shopkeeper for personal daily use is a consumer product.
cq_000211_1e8a4fe8ec,Financial Management,Profitability Ratios,financial risk,definition-ased,easy,B,0.96,ai_verified,EBIT stands for Earnings Before Interest and Tax.
cq_000255_41cec094d3,Marketing,competition and response strategies,promotion mix,statement true/False,easy,A,0.95,ai_verified,"Options A, B, and D are valid competitive responses; C is unethical and thus incorrect."
cq_000761_395f387de5,Functions of Management,Staffing,staffing,definition-based,easy,A,0.98,ai_verified,"Staffing directly concerns obtaining, utilizing, and maintaining a workforce."
cq_000217_7fd87c158c,Planning,Budgeting,types of plans,feature-identification,easy,A,0.96,ai_verified,"Budgets are quantified plans for future periods, expressed numerically, and project revenues/expenses."
cq_000515_af6f267819,Nature and Significance of Management,features of management as an art,entrepreneur characteristics,feature-identification,easy,D,0.94,ai_verified,"Management as an art is characterized by practice, creativity, theoretical knowledge, and open entry; thus, 'Restricted entry' is not a feature."
cq_000946_aa0bb61b2f,Entrepreneurship Development,functions of an entrepreneur,entrepreneur,feature-identification,easy,B,0.97,ai_verified,Entrepreneurs expand economic activities; decreasing the spectrum is contrary to their role.
cq_000916_394fa288cd,Nature and Significance of Management,Organizational Structure and Communication Networks,superior,definition-based,easy,A,0.98,ai_verified,"Inverted V network allows communication between subordinate, direct superior, and higher superior."
cq_000771_5682d74405,Marketing,product classification,products,definition-based,easy,A,0.97,ai_verified,Shopping products and specialty products involve higher shopping effort compared to convenience products.
cq_000801_0110df0efc,Financial Management,Current Assets,financial,definition-based,easy,D,0.99,ai_verified,Marketable securities are highly liquid and can be quickly converted into cash.
cq_000456_287f14e864,Nature and Significance of Management,decentralization,management,definition-based,easy,A,0.96,ai_verified,"Decentralization leads to quicker decisions, better decision quality, and work experience for middle managers; it does not ensure strict control nor is control the primary aim."
cq_000930_75208713d0,Marketing,Promotion Mix,recruitment,definition-based,easy,A,0.95,ai_verified,"Social media influencers are a prominent modern promotional tool, especially for engaging target audiences."
cq_000194_f9cdbf97f5,Staffing,meaning and importance,staffing,definition-based,easy,D,0.98,ai_verified,"Staffing refers to the process of managing work force, i.e., employees, which aligns with option D."
cq_001083_8c3a69dcee,Physical Distribution,Functions of Physical Distribution,physical distribution functions,definition-based,easy,A,0.97,ai_verified,"Key activities in physical distribution include transportation, warehousing, order processing, and inventory control."
cq_001028_bfb1048d77,Marketing,Pricing,pricing objectives,chronology/process order,medium,B,0.95,ai_verified,The objective of charging low prices to capture market share is market share leadership.
cq_000206_c92585d6c0,Business Environment,environmental scanning techniques,environmental scanning,definition-based,easy,B,0.96,ai_verified,"Budgetary analysis is not a technique for environmental scanning; SWOT, PESTAL, and industry analysis are."
cq_000737_f49de07d7f,Staffing,Compensation and Benefits,types of direct financial payment,definition-based,easy,A,0.94,ai_verified,"Direct financial payments can be time-based or performance-based, matching option A."
cq_000952_d5f39a0b5f,Business Finance,Cost Classification,variable,definition-based,easy,C,0.98,ai_verified,"Commission depends on sales volume, making it variable; salary is fixed."
cq_000212_a0c4e5df8a,Business Finance,Owners' Funds,equity,definition-based,easy,A,0.97,ai_verified,"Debentures are debt instruments, not owners' equity."
cq_000041_cf97dba986,Organising,divisional structure,delegation,statement true/false,hard,BLANK,0.85,ai_predicted,"Passage describes decentralisation; exact statement missing, thus cannot assign correct option."
cq_000997_78e8ea691c,Nature and Scope of Business,Profession,profession,feature-identification,easy,B,0.96,ai_verified,Universal validity is not a basic feature of a profession.
cq_000859_038aea58f1,Business Environment,Consumer Protection and Legal Aspects,beware,definition-based,easy,B,0.99,ai_verified,Caveat Venditor translates to 'Let the seller beware'.
cq_000757_c808b57243,Financial Management,Leverage Ratios,financial risk,definition-based,easy,A,0.36,ai_fallback_current_prediction,Fallback to current pipeline label because AI audit call failed.
cq_000630_0f5392a103,Business Finance,financial statements and ratios,financial risk,definition-based,easy,B,0.99,ai_verified,"EBIT stands for Earnings Before Interest and Taxes, matching option B."
cq_000603_02090f5eb5,Marketing,product classification,products,match-the-following,medium,C,0.98,ai_verified,"Speciality products match rare artwork (I), Shopping products match furniture & clothes (II), Convenience products match toothpaste & medicines (IV), Capital items match hand tools & elevators (III)."
cq_000571_77b7aadb29,Marketing,Classification of Products,products,match-the-following,medium,C,0.97,ai_verified,"Industrial products match raw materials, installations, equipment (II); Convenience products match medicines, newspapers, toothpaste (IV); Speciality products match jewelry, radio, furniture (III); Shopping products match rare artwork and antiques (I)."
cq_000852_f9ce8cc1b0,Nature and Significance of Management,types of business tests,tests,match-the-following,medium,C,0.96,ai_verified,"Trade Tests measure existing skills (I); Intelligence Tests indicate emotions & maturity (II); Personality Tests measure emotions, reactions (II); Aptitude Tests measure potential for learning new skills (IV)."
cq_000814_0d5e99952d,Business Finance,current assets,financial risk,definition-based,easy,B,0.98,ai_verified,"Advances received from customers are not classified as current assets; they are considered as receivables or cash equivalents, but the question's context aligns with NCERT's definition of current assets."
cq_000248_b80b0d1fe4,Principles of Management,Techniques of Scientific Management,scientific management,definition-based,easy,D,0.97,ai_verified,"In Fayol's functional foremanship, the Planning Incharge oversees Instruction Card Clerk, Inspector, and Time and Cost Clerk, excluding the Disciplinarian."
cq_000397_88fb202928,Marketing,Classification of products,products,match-the-following,medium,A,0.96,ai_verified,"Ice cream, medicine, and newspapers are convenience products; clothes, shoes, and jewellery are shopping products; rare artworks and antiques are specialty products; raw materials, machines, and tools are industrial products."
cq_001032_ae31b896a2,Business Finance,financial ratios,financial risk,match-the-following,medium,D,0.95,ai_verified,"Financial Leverage relates to Debt/Equity, Net Working Capital is Current Assets - Current Liabilities, Interest Coverage Ratio is EBIT/Interest, and Debt Service Coverage Ratio is (Profit after tax+depreciation+interest+non cash expenses)/(pref dividend+interest+repayment obligation)."
cq_001629_4cebbf2fb7,Controlling,control process,management,case-study diagnosis,medium,BLANK,0.85,ai_predicted,"The statement describes the control process involving acceptable deviation ranges and priority actions for major deviations, aligning with the Controlling function, but the options are missing, making the correct option indeterminate."
cq_000531_c2bf6458f9,Staffing,staffing process,recruitment,case-study diagnosis,medium,B,0.95,ai_verified,Recruitment is a positive process of attracting suitable candidates for job vacancies.
cq_000327_2215a4612d,Nature and Significance of Management,coordination,management,case-study diagnosis,hard,A,0.37,ai_fallback_current_prediction,Fallback to current pipeline label because AI audit call failed.
cq_001120_a9f0ee9c6e,Principles of Management,Fayol principles,managerial communication,statement true/false,easy,C,0.98,ai_verified,"The highlighted principle is the principle of managerial communication, focusing on clear instructions and understanding."
cq_001698_d63067e60f,Marketing,marketing management philosophies,types of plans,feature-identification,hard,BLANK,0.6,ai_predicted,Options are missing; cannot determine the highlighted concept without complete data.
cq_001720_404e71e7cc,Nature and Significance of Management,functions of management,directing,feature-identification,easy,BLANK,0.55,ai_predicted,Options are missing; cannot identify the non-element of directing without complete data.
cq_001678_64f2c6b584,Directing,motivation,Maslow hierarchy,definition-based,easy,C,0.95,ai_verified,Option C directly states Maslow's core assumption about need satisfaction and motivation progression.
cq_000445_0be6b077d6,Principles of Management,nature of principles,ethical code of conduct,feature-identification,easy,A,0.98,ai_verified,"Ethical codes are a hallmark of management as a profession, distinguishing it from art or pure science."
cq_001128_e0b7eb4d82,Business Finance,financial risk,financial ratios,definition-based,easy,B,0.97,ai_verified,Debt Service Coverage Ratio specifically measures cash flow against debt service obligations.
cq_001728_6eaa7e0d8c,Marketing,marketing mix,product types,match-the-following,medium,A,0.9,ai_verified,"Rare collections of artwork align with specialty products, which are unique and sought after."
cq_001675_ca1a75ed0a,Business Finance,financial statements,cash flow statement,statement true/false,easy,BLANK,0.6,ai_predicted,Insufficient options provided to determine a correct true/false statement about cash flow statements.
cq_001123_bed67c1360,Directing,communication,leadership style,case-study diagnosis,easy,C,0.98,ai_verified,"The statement emphasizes tailoring direction techniques to subordinate needs, which aligns with the principle of appropriateness of direction technique."
cq_001681_77a54be8bd,Nature and Significance of Management,levels of management,decentralization,definition-based,easy,A,0.95,ai_verified,"Decentralization facilitates quick decisions and improves decision quality, matching option A."
cq_001036_afc2b05ed8,Nature and Significance of Management,definition of management,management definition,definition-based,easy,C,0.99,ai_verified,The quoted definition is attributed to Harold Koontz and Heinz Weihrich.
cq_001101_62fab746b9,Nature and Significance of Management,coordination,management function,statement true/false,easy,A,0.97,ai_verified,The statement describes coordination as the unifying thread across organizational activities.
cq_000807_4779a63075,Directing,principles of directing,directing principles,principle-identification,easy,D,0.96,ai_verified,Multiplicity of Command is not a principle of directing; the others are.
cq_000329_eb6a5bb7ed,Nature and Significance of Management,functions of management,entrepreneur characteristics,case-study diagnosis,hard,B,0.95,ai_verified,"The statement highlights Shilpa's ability to handle situations based on knowledge and experience, emphasizing the practical and creative application of management principles."
cq_001727_5295baa5ae,Principles of Management,Taylor scientific management,scientific management,definition-based,easy,BLANK,0.6,ai_predicted,The question lacks sufficient options to determine the correct theorist emphasizing harmony between management and workers; likely referring to Taylor but options are empty.
cq_000652_505d39f36b,Planning,importance,planning,statement true/false,easy,C,0.98,ai_verified,"The statement emphasizes that planning is a mental exercise requiring logical thinking, directly matching option C."
cq_001726_aea0a80f70,Business Finance,financial management,equity,definition-based,easy,BLANK,0.55,ai_predicted,The question is incomplete; it likely seeks the concept of 'financial leverage' or 'financial risk' but lacks sufficient options.
cq_001725_e7bc226813,Marketing,product,marketing mix,feature-identification,easy,D,0.92,ai_verified,"Option D correctly describes 'Product' as the tangible or intangible item offered for sale, matching the explanation provided."
cq_000884_4bea6a2a4c,Directing,meaning and importance,types of plans,definition-based,easy,A,0.98,ai_verified,"Supervision aligns with overseeing subordinates' actions, matching the definition."
cq_001633_26b75b9e1a,Entrepreneurship Development,process,development,chronology/process order,easy,BLANK,0.85,ai_verified,Options are incomplete; cannot determine exact sequence without full list.
cq_000922_6d13dc93fd,Directing,leadership,training,definition-based,easy,B,0.95,ai_verified,Strategic plan focus on market leadership fits the leadership aspect of directing.
cq_000446_a6f44a3781,Entrepreneurship Development,concept and functions,entrepreneur characteristics,statement true/ false,easy,A,0.97,ai_verified,"Eliciting support directly relates to persuasion, an entrepreneurial competency."
cq_001034_6590f275f2,Controlling,meaning and importance,controlling,definition-based,easy,A,0.99,ai_verified,"Controlling's primary importance is judging accuracy of standards, matching option A."
cq_001683_0eef9d0841,Marketing,marketing mix,product classification,definition-based,easy,A,0.9,ai_verified,Shopping products are classified based on the amount of shopping effort consumers undertake.
cq_000021_ea573fd24d,Organising,delegation,decentralisation,statement true/false,hard,TRUE,0.85,ai_verified,"The passage describes Wipro's shift to a decentralised management system, empowering business leaders."
cq_001707_c3670d5fbb,Organising,functions of management,function-description matching,definition-based,easy,D,0.95,ai_verified,Assigning of work corresponds to the organising function.
cq_001682_3b72bcba6b,Nature and Significance of Management,features of management,three main dimensions,definition-based,easy,B,0.8,ai_verified,"The three main dimensions are often considered: human, dynamic, and integrative; 'primary function' is not a dimension."
cq_001078_55bb738591,Business Finance,capital structure,financial composition,statement true/false,easy,D,0.98,ai_verified,"The statement describes the mix of equity and debt, which is the definition of capital structure."
cq_000188_0e66f51d3c,Directing,elements of directing,directing,definition-identification,easy,B,0.98,ai_verified,"Elements of directing include communication, motivation, and supervision; compensation is not a directing element."
cq_000364_fbaa81be59,Nature and Significance of Management,meaning and objectives,types of plans,definition-identification,easy,A,0.95,ai_verified,Mapping of plan types to options matches the standard taxonomy.
cq_001662_cef032c1f8,Directing,supervision,directing,case-study diagnosis,easy,BLANK,0.6,ai_predicted,Insufficient options provided to determine the correct technique for eliminating unnecessary movements.
cq_000996_f5f38286b4,Consumer Protection,consumer organizations and NGOs,functions of consumer organizations,case-study diagnosis,medium,D,0.92,ai_verified,Initiating civil court cases for an individual is outside the typical scope of consumer NGOs.
cq_000237_b458c47a82,Business Environment,importance of environment,control mechanism,definition-identification,easy,C,0.97,ai_verified,Efficient control mechanism monitors organizational and environmental changes to revise standards.
cq_001069_604a21393d,Staffing,benefits of staffing,benefits of staffing,feature-identification,easy,D,0.95,ai_verified,"Option D relates to marketing needs, which is outside the scope of staffing benefits."
cq_000775_5659bdf6a1,Planning,planning process,performance standards and goals,definition-based,easy,B,0.97,ai_verified,Performance standards and goals are core elements of the planning process introduced by Aditi.
cq_000337_50368bcc12,Nature and Significance of Management,management as an art,management as an art,definition-based,easy,B,0.96,ai_verified,The focus on individual knowledge variation and creative application aligns with management as an art.
cq_000149_7eecf60620,Directing,leadership,leadership style,feature-identification,easy,B,0.48,ai_fallback_current_prediction,Fallback to current pipeline label because AI audit call failed.
cq_001075_e007b3c5c9,Marketing,marketing roles,marketer identification,case-study diagnosis,medium,B,0.93,ai_verified,"Eco Tech, as the product/service provider, acts as the marketer in the scenario."
cq_000168_b511f3692a,Principles of Management,Taylor scientific management,standardisation,principle-identification,easy,C,0.98,ai_verified,Standardisation concept is attributed to F.W. Taylor in scientific management.
cq_000959_859d13fd14,Nature and Significance of Management,management as an art,creativity and interpretation,statement true/false,easy,C,0.97,ai_verified,"Management as an art emphasizes creativity, similar to composing music."
cq_000557_883343c455,Nature and Significance of Management,management as a profession,restricted entry,example-to-concept,easy,B,0.96,ai_verified,Specified examination for chartered accountants exemplifies restricted entry.
cq_001637_e433a087a0,Organising,decentralisation,importance of decentralisation,definition-based,easy,BLANK,0.85,ai_predicted,Options provided are incomplete; cannot determine correct answer without full list.
cq_000059_e34d44f637,Marketing,marketing mix,functional areas and standards,match-the-following,medium,BLANK,0.8,ai_predicted,Incomplete matching lists; unable to assign correct options.
cq_000624_d954961a3e,Business Finance,investment decision,percent,definition-based,easy,D,0.98,ai_verified,Project B must have a higher rate of return than Project A (10%) to be selected under normal circumstances.
cq_001679_ac383c2457,Business Finance,financial planning,financial risk,case-study diagnosis,medium,BLANK,0.85,ai_predicted,"The passage describes financial planning and funding decisions but does not explicitly ask a specific question; thus, the correct option is left blank."
cq_001049_6886ecb1ad,Planning,benefits of planning,planning,definition-based,easy,D,0.97,ai_verified,"All listed statements (A, C, D) are benefits of planning; B is incorrect as planning does not ensure certainty."
cq_000685_c8b68c1fe4,Directing,motivation,centralisation/decentralisation,definition-based,easy,D,0.99,ai_verified,Encouraging employees to meet performance standards is a motivation activity in directing.
cq_001699_3d87b16608,Controlling,relationship with planning,controlling,statement true/false,easy,D,0.94,ai_predicted,Statement D correctly identifies controlling as a pervasive function; other statements are either false or partially true.
cq_001686_d2861773a3,Nature and Significance of Management,features of management,nature of management,definition- based,easy,BLANK,0.0,ai_verified,Options are empty; cannot determine correct option.
cq_000681_f048f2d2ae,Nature and Significance of Management,meaning and objectives,directing,case-study diagnosis,medium,B,0.95,ai_verified,Option B aligns with the heart of management concept.
cq_000683_39a7f392d3,Nature and Significance of Management,meaning and objectives,directing,definition- based,easy,B,0.98,ai_verified,Directing's primary purpose is guiding employee actions.
cq_000058_690b278429,Nature and Significance of Management,meaning and objectives,planning,definition- based,easy,BLANK,0.0,ai_verified,Options are empty; cannot determine correct option.
cq_000265_65a452551e,Business Finance,working capital,liquidity of current assets,chronology/ process order,easy,B,0.99,ai_verified,Order of liquidity: Cash > Marketable securities > Bills receivable > Finished goods.
cq_001673_4b5c896381,Business Finance,financial management,financial,definition-based,easy,BLANK,0.2,ai_predicted,Options are empty; cannot determine correct answer.
cq_000655_e2db808569,Nature and Significance of Management,meaning and objectives,types of plans,feature-identification,easy,D,0.5,ai_fallback_current_prediction,Fallback to current pipeline label because AI audit call failed.
cq_000890_068eb5c982,Nature and Significance of Management,meaning and objectives,types of plans,principle-identification,easy,A,0.9,ai_predicted,Management as an art is indicated by the use of personal skill and practical knowledge.
cq_001124_80a52dea16,Business Finance,financial management,capital structure,statement true/false,easy,B,0.93,ai_predicted,Regulatory Framework (SEBI guidelines) is the factor affecting capital structure.
cq_000635_af1f825c0e,Principles of Management,Fayol principles,division of work,statement true/false,easy,B,0.88,ai_predicted,Development of personnel is highlighted by empowering business leaders with growth responsibility.
cq_000586_ff6aa8f495,Consumer Protection,consumer responsibilities,consumer responsibilities,case-study diagnosis,medium,A,0.95,ai_verified,"Option A directly aligns with the responsibility of filing a complaint in a consumer forum, matching the case description."
cq_000224_de05ae82a5,Principles of Management,Fayol principles,father of general management,principle-identification,easy,A,0.98,ai_verified,"Henry Fayol is historically recognized as the father of general management, fitting the subtopic."
cq_000977_9f79650cdc,Business Finance,dividend decision,business diversification,chronology/process order,hard,A,0.85,ai_verified,"The question context suggests a strategic decision, aligning with business diversification."
cq_000790_4a26bbacea,Business Finance,financing decision,interest coverage ratio,definition-based,easy,B,0.99,ai_verified,Interest Coverage Ratio precisely measures the ability to cover interest obligations with EBIT.
cq_000227_6b9bff692b,Directing,meaning and importance,motivation and productivity,definition-based,easy,B,0.96,ai_verified,Rajesh's efforts leading to improved productivity align with the directing function's focus on motivation.
cq_001110_b4b752590c,Nature and Significance of Management,importance of management,resources,definition-based,easy,A,0.98,ai_verified,Efficiency is defined as achieving more output with fewer inputs; option A correctly states this.
cq_001713_1ff679e88e,Marketing,product,price mix,definition-based,easy,BLANK,0.0,ai_predicted,Options are empty; cannot determine correct answer without additional information.
cq_000233_6afd766b56,Controlling,meaning and importance,training,definition-based,easy,B,0.97,ai_verified,Training employees is a common corrective action in controlling warehouse operations.
cq_001020_8a59682f85,Nature and Significance of Management,meaning and objectives,types of plans,definition-based,easy,B,0.96,ai_verified,Reducing workload of managers is not a direct benefit of planning; other options describe benefits.
cq_001093_4e4cc35ba1,Organising,organisation structure,organization,definition-based,easy,D,0.99,ai_verified,Divisional structure suits organizations with a large variety of products using different resources.
cq_000153_7e6c05d6ec,Nature and Significance of Management,importance of management,management,definition-based,easy,A,0.98,ai_verified,"Effectiveness refers to doing the right task and achieving goals, which matches the question description."
cq_000199_6a34dde4eb,Nature and Significance of Management,functions of management,management,definition-based,easy,B,0.97,ai_verified,Planning involves creating premises for the future; uncertainty makes these premises less reliable.
cq_000715_d31855db63,Principles of Management,Fayol principles,equity,case-study diagnosis,easy,B,0.96,ai_verified,"Bias towards female subordinates violates the Equity principle, which mandates fair treatment of all employees."
cq_001122_7556f14a99,Principles of Management,Fayol principles,unity of command,statement true/false,easy,B,0.95,ai_verified,The statement directly describes the Unity of Command principle.
cq_001121_61a9e91988,Principles of Management,Fayol principles,harmony of objectives,statement true/false,easy,A,0.94,ai_verified,Linking rewards to efficiency reflects the Harmony of Objectives principle.
cq_000047_0ceb6fbe8b,Nature and Significance of Management,features of management,management,definition-based,easy,,0.52,ai_fallback_current_prediction,Fallback to current pipeline label because AI audit call failed.
cq_001689_ca644041be,Staffing,staffing process,staffing,chronology/process order,easy,A,0.98,ai_verified,Correct order: Determine personnel requirements → Search & stimulate applications → Brief presentation → Issue offer letter.
cq_000933_7397e65e64,Planning,importance,planning,feature-identification,easy,B,1.0,ai_verified,Planning is generally considered flexible; the statement 'It is flexible' is NOT a feature.
cq_000569_12d3544c56,Principles of Management,Fayol principles,discipline,match-the-following,medium,A,0.97,ai_verified,"Correct matches: Cost Clerk → prepare cost sheet, Instruction Card Clerk → draft instructions, Route Clerk → specify production route, Disciplinarian → ensure discipline."
cq_000651_12930ab723,Business Finance,financing decision,financial risk,definition-based,easy,B,0.99,ai_verified,Financial leverage is favorable when ROI exceeds the cost of debt.
cq_000905_33073b8363,Principles of Management,techniques of scientific management,division of work,principle-identification,easy,C,0.98,ai_verified,Taylor's principle of division of work extended to shop floor is Functional Foremanship.
cq_000358_20d688c600,Organising,decentralisation,centralisation/decentralisation,definition-based,easy,B,0.97,ai_verified,Subordinates performing tasks on behalf of manager is delegation.
cq_001635_8042ad749e,Principles of Management,nature of principles,principles,principle-identification,easy,BLANK,0.85,ai_predicted,Options missing; likely refers to the principle of efficiency (eliminate waste).
cq_000976_9b2cd0fa0a,Business Finance,investment decision,decisions,chronology/process order,hard,C,0.93,ai_predicted,Investing in land is irreversible; thus 'reversible' is incorrect.
